,Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
57,2011-11-27,APNT IB Equity,HUVR IB Equity,293.62,390.15,1.3287582589741842,1.0,0
58,2011-12-04,TTAN IB Equity,SUNP IB Equity,191.25,256.55,1.341437908496732,1.0,0
59,2011-12-04,INFO IB Equity,MSIL IB Equity,330.41,969.55,1.0,0.341547891229265,0.7377579413338431
60,2011-12-04,HUVR IB Equity,APNT IB Equity,382.55,294.71,1.0,1.3287582589741842,9.048346502281793
61,2011-12-04,SUNP IB Equity,TTAN IB Equity,256.55,191.25,1.0,1.341437908496732,0.0
62,2011-12-11,TTAN IB Equity,SUNP IB Equity,186.8,262.25,1.4039079229122056,1.0,0
63,2011-12-11,APNT IB Equity,HUVR IB Equity,285.06,394.3,1.3832175682312495,1.0,0
64,2011-12-18,TTAN IB Equity,TCS IB Equity,179.8,589.95,3.2811457174638488,1.0,0
65,2011-12-18,ICICIBC IB Equity,WPRO IB Equity,128.65,138.65,1.0777302759424796,1.0,0
66,2012-01-01,APNT IB Equity,HUVR IB Equity,266.62,419.3,1.5726502137874128,1.0,0
67,2012-01-01,AXSB IB Equity,WPRO IB Equity,174.56,135.96,0.7788725939505041,1.0,0
68,2012-01-01,SUNP IB Equity,TTAN IB Equity,250.4,174.45,1.0,1.4039079229122056,-5.488262847965775
69,2012-01-01,HUVR IB Equity,APNT IB Equity,419.3,266.62,1.0,1.3832175682312495,-50.50653195818424
70,2012-01-01,TCS IB Equity,TTAN IB Equity,593.95,174.45,1.0,3.2811457174638488,-21.554129588431664
71,2012-01-01,WPRO IB Equity,ICICIBC IB Equity,135.96,132.39,1.0,1.0777302759424796,6.7207112320248505
72,2012-01-01,HUVR IB Equity,APNT IB Equity,419.3,266.62,1.0,1.5726502137874128,0.0
73,2012-01-01,WPRO IB Equity,AXSB IB Equity,135.96,174.56,1.0,0.7788725939505041,0.0
74,2012-01-29,TCS IB Equity,SUNP IB Equity,539.22,261.52,0.48499684729794884,1.0,0
75,2012-01-29,INFO IB Equity,MSIL IB Equity,324.99,1162.55,3.577186990368934,1.0,0
76,2012-01-29,SUNP IB Equity,TCS IB Equity,261.52,539.22,1.0,0.48499684729794884,0.0
77,2012-01-29,MSIL IB Equity,INFO IB Equity,1162.55,324.99,1.0,3.577186990368934,0.0
78,2012-03-25,TCS IB Equity,HCLT IB Equity,561.2,124.49,0.22182822523164644,1.0,0
79,2012-03-25,HCLT IB Equity,TCS IB Equity,124.49,561.2,1.0,0.22182822523164644,0.0
80,2012-04-01,RELIANCE IB Equity,BAF IB Equity,329.31,78.71,0.23901490996325647,1.0,0
81,2012-04-15,NTPC IB Equity,BAF IB Equity,136.13,84.17,0.6183060309997797,1.0,0
82,2012-04-22,BHARTI IB Equity,BAF IB Equity,285.56,85.65,0.2999369659616193,1.0,0
83,2012-04-22,BAF IB Equity,RELIANCE IB Equity,85.65,337.66,1.0,0.23901490996325647,-4.944225501806815
84,2012-04-22,BAF IB Equity,NTPC IB Equity,85.65,137.54,1.0,0.6183060309997797,-0.6081884962903168
85,2012-04-22,BAF IB Equity,BHARTI IB Equity,85.65,285.56,1.0,0.2999369659616193,0.0
86,2012-04-29,BHARTI IB Equity,BAF IB Equity,281.78,85.26,0.30257647810348504,1.0,0
87,2012-04-29,TCS IB Equity,HDFCB IB Equity,529.63,272.45,0.5144157241848083,1.0,0
88,2012-05-06,BHARTI IB Equity,BAF IB Equity,279.66,84.99,0.30390474147178714,1.0,0
89,2012-05-06,WPRO IB Equity,TTMT IB Equity,135.49,313.39,2.313012030408148,1.0,0
90,2012-05-13,NTPC IB Equity,BAF IB Equity,130.38,86.75,0.6653627857033287,1.0,0
91,2012-05-20,HDFCB IB Equity,TCS IB Equity,250.25,613.8,1.0,0.5144157241848083,65.49837150463529
92,2012-05-20,UTCEM IB Equity,APNT IB Equity,1371.55,370.07,0.2698188181254785,1.0,0
93,2012-05-20,BAF IB Equity,BHARTI IB Equity,82.96,277.09,1.0,0.30257647810348504,0.8809163176946673
94,2012-05-20,BAF IB Equity,BHARTI IB Equity,82.96,277.09,1.0,0.30390474147178714,1.248964814417493
95,2012-05-20,TTMT IB Equity,WPRO IB Equity,287.12,134.62,1.0,2.313012030408148,24.25767953354488
96,2012-05-20,BAF IB Equity,NTPC IB Equity,82.96,123.21,1.0,0.6653627857033287,-0.9806511734928618
97,2012-05-20,APNT IB Equity,UTCEM IB Equity,370.07,1371.55,1.0,0.2698188181254785,0.0
98,2012-06-24,MSIL IB Equity,LT IB Equity,1091.5,585.62,0.5365277141548328,1.0,0
99,2012-07-01,HCLT IB Equity,SUNP IB Equity,116.15,304.68,2.623159707275075,1.0,0
100,2012-07-15,NEST IB Equity,UTCEM IB Equity,4432.75,1554.75,0.3507416389374542,1.0,0
101,2012-07-15,WPRO IB Equity,ICICIBC IB Equity,129.07,169.05,1.3097543968389247,1.0,0
102,2012-07-15,LT IB Equity,MSIL IB Equity,617.29,1189.0,1.0,0.5365277141548328,20.64145213009624
103,2012-07-15,SUNP IB Equity,HCLT IB Equity,312.63,121.76,1.0,2.623159707275075,6.765925957813181
104,2012-07-15,UTCEM IB Equity,NEST IB Equity,1554.75,4432.75,1.0,0.3507416389374542,0.0
105,2012-07-15,ICICIBC IB Equity,WPRO IB Equity,169.05,129.07,1.0,1.3097543968389247,0.0
106,2012-07-22,WPRO IB Equity,ICICIBC IB Equity,118.92,167.17,1.4057349478641101,1.0,0
107,2012-07-22,INFO IB Equity,LT IB Equity,271.58,614.82,2.2638633183592316,1.0,0
108,2012-07-29,KMB IB Equity,BAF IB Equity,276.0,102.77,0.3723550724637681,1.0,0
109,2012-08-05,KMB IB Equity,BAF IB Equity,268.3,98.7,0.36787178531494596,1.0,0
110,2012-08-05,APNT IB Equity,UTCEM IB Equity,357.46,1634.85,4.573518715380742,1.0,0
111,2012-08-05,WPRO IB Equity,ICICIBC IB Equity,111.78,175.33,1.5685274646627305,1.0,0
112,2012-08-12,BHARTI IB Equity,RELIANCE IB Equity,266.91,354.36,1.3276385298415196,1.0,0
113,2012-08-12,NEST IB Equity,UTCEM IB Equity,4386.85,1637.55,0.3732860708708982,1.0,0
114,2012-08-12,WPRO IB Equity,ICICIBC IB Equity,115.37,173.45,1.5034237670104877,1.0,0
115,2012-08-12,SBIN IB Equity,LT IB Equity,201.82,625.16,3.0976117332276285,1.0,0
116,2012-08-12,ICICIBC IB Equity,WPRO IB Equity,173.45,115.37,1.0,1.4057349478641101,-11.270359064917589
117,2012-08-12,LT IB Equity,INFO IB Equity,625.16,276.69,1.0,2.2638633183592316,1.2283415568157867
118,2012-08-12,BAF IB Equity,KMB IB Equity,100.41,280.2,1.0,0.3723550724637681,3.923891304347821
119,2012-08-12,BAF IB Equity,KMB IB Equity,100.41,280.2,1.0,0.36787178531494596,2.667674245247855
120,2012-08-12,UTCEM IB Equity,APNT IB Equity,1637.55,375.04,1.0,4.573518715380742,77.70245901639359
121,2012-08-12,ICICIBC IB Equity,WPRO IB Equity,173.45,115.37,1.0,1.5685274646627305,7.511013598139232
122,2012-08-12,RELIANCE IB Equity,BHARTI IB Equity,354.36,266.91,1.0,1.3276385298415196,0.0
