Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
2012-04-30,HINDALCO.NS,ULTRACEMCO.NS,115.40760803222656,1429.62158203125,12.387585241624977,1.0,0
2012-05-31,ULTRACEMCO.NS,HINDALCO.NS,1360.4833984375,108.88024139404295,1.0,12.387585241624977,-11.7201270400885
2012-05-31,HINDALCO.NS,EICHERMOT.NS,108.88024139404295,211.7564697265625,1.9448567252914641,1.0,0
2012-06-30,EICHERMOT.NS,HINDALCO.NS,210.4108428955078,105.66188049316406,1.0,1.9448567252914641,-4.913624011434721
2012-06-30,HINDALCO.NS,EICHERMOT.NS,105.66188049316406,210.4108428955078,1.991360005268131,1.0,0
2012-07-31,EICHERMOT.NS,HINDALCO.NS,185.5169982910156,109.6961669921875,1.0,1.991360005268131,32.92756138844068
2012-07-31,ADANIENT.NS,DIVISLAB.NS,30.41670036315918,464.1295471191406,15.25903669949999,1.0,0
2012-08-31,DIVISLAB.NS,ADANIENT.NS,495.9486083984375,23.990365982055664,1.0,15.25903669949999,-129.87873344381399
2012-08-31,ADANIENT.NS,DIVISLAB.NS,23.990365982055664,495.9486083984375,20.672823781404485,1.0,0
2012-09-30,DIVISLAB.NS,ADANIENT.NS,501.4324645996094,21.075748443603516,1.0,20.672823781404485,-65.73723096378404
2012-09-30,ADANIENT.NS,HINDUNILVR.NS,21.075748443603516,423.9638671875,20.116195081848822,1.0,0
2012-10-31,HINDUNILVR.NS,ADANIENT.NS,446.8041076660156,26.576099395751953,1.0,20.116195081848822,87.80589229353527
2013-08-31,TATASTEEL.NS,SUNPHARMA.NS,15.362683296203612,526.994384765625,34.303537644094675,1.0,0
2013-09-30,SUNPHARMA.NS,TATASTEEL.NS,490.0838317871094,21.156129837036133,1.0,34.303537644094675,235.6462644810141
2018-11-30,TATAMOTORS.NS,ADANIENT.NS,178.89244079589844,172.92723083496094,0.9666547678907053,1.0,0
2018-12-31,ADANIENT.NS,TATAMOTORS.NS,164.72552490234375,174.90487670898438,1.0,0.9666547678907053,4.347108095731962
2018-12-31,TATAMOTORS.NS,HINDUNILVR.NS,174.90487670898438,1695.1090087890625,9.69160517810759,1.0,0
2019-01-31,HINDUNILVR.NS,TATAMOTORS.NS,1672.3604736328125,172.9110870361328,1.0,9.69160517810759,3.4255128387843605
2019-01-31,TATAMOTORS.NS,HINDUNILVR.NS,172.9110870361328,1672.3604736328125,9.671794344126374,1.0,0
2019-02-28,HINDUNILVR.NS,TATAMOTORS.NS,1670.68896484375,181.08560180664065,1.0,9.671794344126374,80.73373451243774
2019-02-28,TATAMOTORS.NS,HINDUNILVR.NS,181.08560180664065,1670.68896484375,9.225962462922238,1.0,0
2019-03-31,HINDUNILVR.NS,TATAMOTORS.NS,1610.659912109375,179.73980712890625,1.0,9.225962462922238,47.61280155479686
2019-03-31,TATAMOTORS.NS,DIVISLAB.NS,179.73980712890625,1607.949951171875,8.945986850974428,1.0,0
2019-04-30,DIVISLAB.NS,TATAMOTORS.NS,1659.4681396484375,186.76791381835935,1.0,8.945986850974428,11.35516155453032
2019-08-31,TATAMOTORS.NS,KOTAKBANK.NS,129.14749145507812,1492.928955078125,11.559875753354577,1.0,0
2019-09-30,KOTAKBANK.NS,TATAMOTORS.NS,1411.5853271484375,112.29999542236328,1.0,11.559875753354577,-113.41133296363026
2019-09-30,TATAMOTORS.NS,INFY.NS,112.29999542236328,733.905517578125,6.535223040908299,1.0,0
2019-10-31,INFY.NS,TATAMOTORS.NS,715.2481079101562,114.94176483154295,1.0,6.535223040908299,35.92196197960645
2019-10-31,TATAMOTORS.NS,BAJFINANCE.NS,114.94176483154295,3945.62548828125,34.327169885236266,1.0,0
2019-11-30,BAJFINANCE.NS,TATAMOTORS.NS,4022.16845703125,174.50611877441406,1.0,34.327169885236266,1968.1327281512793
2020-04-30,INDUSINDBK.NS,NESTLEIND.NS,334.1814880371094,1492.9700927734375,4.467542776060802,1.0,0
2020-05-31,NESTLEIND.NS,INDUSINDBK.NS,1664.816650390625,413.0766296386719,1.0,4.467542776060802,180.62086231116712
2020-05-31,INDUSINDBK.NS,NESTLEIND.NS,413.0766296386719,1664.816650390625,4.0302852568708145,1.0,0
2020-06-30,NESTLEIND.NS,INDUSINDBK.NS,1638.78076171875,400.4319763183594,1.0,4.0302852568708145,-24.92567118322306
2020-06-30,INDUSINDBK.NS,DIVISLAB.NS,400.4319763183594,2431.52783203125,6.072261896732464,1.0,0
2020-07-31,DIVISLAB.NS,INDUSINDBK.NS,2197.399658203125,480.840576171875,1.0,6.072261896732464,722.3902508882355
